date,year,month,mn_nsys,mn_nsys_lwr,mn_nsys_upr,daosys_nsys,daosys_nsys_lwr,daosys_nsys_upr,tot_nsys,tot_nsys_lwr,tot_nsys_upr,price,price_lwr,price_upr,mn_reward,mn_reward_lwr,mn_reward_upr,daosys_reward,daosys_reward_lwr,daosys_reward_upr,tot_reward,tot_reward_lwr,tot_reward_upr,tot_nodes,investment_nodes
2024-08-19,2024,8,6424.002473925324,6227.452187932922,6620.552759917726,737.7239480842836,712.4544590599835,762.9934371081181,7161.726422009608,6939.906646992906,7383.546197025844,0.7357037644473197,0.3502221557151205,1.570582267506838,4726.162802885756,2249.827994737394,10089.424371967172,542.7462857285465,249.51733650083747,1198.343962546104,5268.909088614302,2499.3453312382317,11287.768334513275,3094.6584327204437,400
2024-08-20,2024,8,6423.552159635416,6227.015651564618,6620.0886677062135,739.07758353604,713.7666783644818,764.3884887075983,7162.629743171456,6940.782329929099,7384.477156413812,0.749106002893319,0.3754547001312099,1.5852729570892758,4811.921482681233,2411.752849873101,10183.083527122439,553.647454430736,267.98705418898624,1211.764399858497,5365.568937111969,2679.739904062087,11394.847926980936,3094.875379493819,400
2024-08-21,2024,8,6423.101908473984,6226.579176393296,6619.624640554671,740.4311241060495,715.0788056897,765.7834425223991,7163.533032580033,6941.657982082996,7385.40808307707,0.7482824227420655,0.3919918908414288,1.6047654376401608,4806.294257592097,2517.803862169907,10307.571945159605,554.0515954197057,280.30509314293613,1228.9028012770468,5360.345853011802,2798.108955312843,11536.474746436652,3095.092326267195,400
2024-08-22,2024,8,6422.651720427753,6226.142762406089,6619.160678449419,741.784569808282,716.3908410500735,767.1782985664904,7164.436290236035,6942.533603456162,7386.338977015909,0.7082135736607279,0.3866676501900821,1.6812232707529016,4548.609127302361,2483.4316487270876,10797.911532324299,525.3419010703091,277.00516312652854,1289.7980083666012,5073.95102837267,2760.4368118536163,12087.7095406909,3095.30927304057,400
2024-08-23,2024,8,6422.201595483457,6225.706409590133,6618.6967813767815,743.1379206557758,717.7027844577096,768.573056853842,7165.339516139233,6943.409194047843,7387.2698382306235,0.7529670986371614,0.3686988383241031,1.6834163702520528,4835.706502214127,2367.8582677379522,10811.239298895704,559.5584040034325,264.6161828915317,1293.8284656424194,5395.26490621756,2632.4744506294837,12105.067764538122,3095.5262198139458,400
2024-08-24,2024,8,6421.751533627828,6225.27011793257,6618.232949323087,744.4911766615696,719.0146359251812,769.967717397958,7166.242710289398,6944.284753857752,7388.200666721045,0.7054129063290153,0.39401089832451086,1.72119470612758,4529.986413059218,2530.240090581506,11053.084743746887,525.1736846651462,283.2996026093518,1325.264359074502,5055.160097724364,2813.539693190858,12378.34910282139,3095.743166587321,400
2024-08-25,2024,8,6421.301534847602,6224.833887420539,6617.769182274666,745.8443378391676,720.3263954659924,771.3622802118771,7167.1458726867695,6945.160282886532,7389.131462486543,0.7101680267099739,0.3915084244247078,1.7014005609675904,4560.203039912449,2513.9936466641425,10925.206033531758,529.6748016360488,282.0138521604197,1312.3962162617274,5089.877841548498,2796.0074988245624,12237.602249793486,3095.9601133606966,400
2024-08-26,2024,8,6420.851599129523,6224.397718041191,6617.305480217855,747.1974042016082,721.638063092716,772.7567453100346,7168.049003331131,6946.035781133907,7390.0622255278895,0.7454915073032387,0.36001539315332287,1.6781597439443194,4786.690336805478,2311.605412839757,10775.214675499674,557.0293191113241,259.8008109987266,1296.8092618407334,5343.719655916802,2571.4062238384836,12072.023937340407,3096.177060134072,400
2024-08-27,2024,8,6420.401726460332,6223.961609781672,6616.84184313899,748.5503757623956,722.9496388188563,774.1511127059348,7168.952102222727,6946.911248600529,7390.992955844925,0.7357839695752744,0.33077994364928537,1.6929110970326016,4724.028668562928,2123.740121284323,10869.169330131968,550.7713669055187,239.1372407897725,1310.5690094800132,5274.800035468446,2362.8773620740953,12179.738339611982,3096.3940069074474,400
2024-08-28,2024,8,6419.951916826779,6223.525562629139,6616.378271024419,749.903252535034,724.2611226560548,775.5453824135475,7169.855169361813,6947.786685285194,7391.923653437966,0.7156393037887419,0.35100617220851194,1.6430525023866493,4594.369920115115,2253.4427480880668,10548.318062144204,536.6602415530848,254.22012434294135,1274.26178128899,5131.0301616682,2507.662872431008,11822.579843433194,3096.610953680823,400
2024-08-29,2024,8,6419.502170215617,6223.089576570749,6615.914763860485,751.2560345320962,725.5725146182813,776.9395544459112,7170.7582047477135,6948.66209118903,7392.854318306397,0.7345378605385736,0.319392368914911,1.6550479400041964,4715.36738983291,2050.3400053995783,10624.583842667826,551.8260003218987,231.74232426348175,1285.8722090934834,5267.193390154808,2282.08232966306,11910.45605176131,3096.8279004541982,400
2024-08-30,2024,8,6419.0524866136,6222.653651593661,6615.451321633539,752.6087217675522,726.8838147181086,778.3336288174614,7171.661208381152,6949.53746631177,7393.784950451,0.7071762964625455,0.3602232523228735,1.6537364939451145,4539.401764282099,2312.2919635591793,10615.421353662045,532.227048544988,261.8404517986141,1287.1587264401667,5071.628812827087,2574.1324153577934,11902.58008010221,3097.044847227574,400
2024-08-31,2024,8,6418.6028660074935,6222.217787685046,6614.987944329941,753.9613142544404,728.1950229681097,779.7276055412367,7172.564180261934,6950.412810653155,7394.715549871177,0.7133116525591849,0.3906571184254486,1.6617630931105412,4578.464217472926,2507.472899951813,10666.197352064797,537.8093910365299,284.4745693244751,1295.7225575678815,5116.273608509456,2791.947469276288,11961.91990963268,3097.261794000949,400
2024-09-01,2024,9,6418.153308384051,6221.781984832063,6614.524631936039,755.3138120062649,729.506139381323,781.1214846312068,7173.467120390316,6951.288124213386,7395.646116567246,0.7508936430847694,0.3723674839892661,1.6632942732560327,4819.3505196090655,2389.9115993003534,10675.277642714453,567.1603399696289,271.64436567614615,1299.2348921043365,5386.510859578694,2661.5559649764996,11974.512534818788,3097.4787407743247,400
2024-09-02,2024,9,6417.70381373005,6221.346243021892,6614.061384438206,756.6662150355987,730.8171639707871,782.515266100876,7174.370028765648,6952.1634069926795,7396.576650539082,0.7556199702952505,0.2977234776075898,1.6751070205184038,4849.345165094416,1910.7010976792023,10750.34071398694,571.7521029286188,217.58142755269893,1310.7968159084044,5421.097268023035,2128.282525231901,12061.137529895344,3097.6956875477,400
2024-09-03,2024,9,6417.254382032252,6220.910562241704,6613.598201822801,758.0185233564116,732.1280967490748,783.9089499642141,7175.272905388663,6953.0386589907785,7397.507151787015,0.7556800910075054,0.33466390687169245,1.6824376779043129,4849.391375432445,2147.623422880402,10796.630561027618,572.819506715348,245.0168491885818,1318.8779534662006,5422.210882147793,2392.640272068984,12115.508514493818,3097.9126343210755,400
2024-09-04,2024,9,6416.805013277436,6220.474942478678,6613.135084076194,759.3707369817421,733.4389377292246,785.3025362347253,7176.175750259178,6953.913880207902,7398.43762031092,0.7863179865550869,0.3748265572196232,1.6827472744247864,5045.649198156902,2405.1889314764,10797.861146607911,597.1068689523358,274.9123919598629,1321.465702447856,5642.756067109238,2680.1013234362626,12119.326849055768,3098.129581094451,400
2024-09-05,2024,9,6416.3557074523815,6220.03938372,6612.672031184763,760.7228559250943,734.7496869238093,786.6960249259137,7177.078563377476,6954.789070643809,7399.368056110677,0.762774107701293,0.36717481964203424,1.6973735848234506,4894.229999446088,2355.924249642965,10890.952688660856,580.2596976362431,269.78158377829084,1335.3170519948567,5474.489697082331,2625.705833421256,12226.269740655713,3098.3465278678264,400
