,year,month,mn_nsys,mn_nsys_lwr,mn_nsys_upr,daosys_nsys,daosys_nsys_lwr,daosys_nsys_upr,tot_nsys,tot_nsys_lwr,tot_nsys_upr,mn_reward,mn_reward_lwr,mn_reward_upr,daosys_reward,daosys_reward_lwr,daosys_reward_upr,tot_reward,tot_reward_lwr,tot_reward_upr,price,price_lwr,price_upr,total_nodes,investment_nodes
13,2024,2,188757.39699332637,182982.13141508168,194532.66257157104,14044.108993358444,13536.172631856985,14552.045354858506,202801.50598668482,196518.30404693866,209084.70792642955,104694.20033126141,57970.56042901466,171352.84335729355,7793.1481683268885,4160.718943135717,13209.310450964287,112487.34849958829,62131.27937215037,184562.15380825783,0.5517649040993401,0.30594076736499104,0.9061713371801403,3057.3435876998687,400
14,2024,3,201346.11111336914,195185.6782861058,207506.5439406325,16286.853431634605,15704.901707167272,16868.80515610194,217632.96454500375,210890.57999327307,224375.34909673443,110476.62148360616,61467.41516576749,201030.88734636985,8939.791118739544,4795.96395306811,16848.30714635313,119416.4126023457,66263.3791188356,217879.19449272298,0.5449513625998206,0.3046410215043335,0.997322988975611,3064.0689376745077,400
15,2024,4,194430.74912228342,188481.9003320135,200379.59791255335,17012.44218966784,16410.98809555173,17613.896283783484,211443.19131195126,204892.88842756522,217993.49419633683,111913.12300369941,65770.17872117936,207385.15347476763,9796.620660939278,5547.3517563624655,18800.303717763516,121709.74366463868,71317.53047754182,226185.45719253115,0.571817433147769,0.33877169459497725,1.0681597872705177,3070.5773408757705,400
16,2024,5,200479.3170876048,194345.4048935996,206613.22928161,18869.3931852784,18208.42546895519,19530.36090160301,219348.7102728832,212553.83036255479,226143.590183213,119503.09020646372,65389.6868846127,239440.44119667506,11247.530714807419,5935.315747659464,23345.526734211933,130750.62092127114,71325.00263227217,262785.96793088695,0.5933354346463706,0.32371424397637644,1.1948939160412995,3077.3026908504085,400
17,2024,6,193595.52356085533,187672.22952770657,199518.8175940041,19506.29472856177,18828.538137405645,20184.0513197165,213101.8182894171,206500.76766511222,219702.8689137206,121957.9987546987,62154.18113340357,272237.1096913166,12293.480793740331,6051.669659787658,28403.175246675175,134251.47954843903,68205.85079319123,300640.28493799176,0.6348040586319419,0.3211939451245878,1.4018756453111887,3083.811094051672,400
18,2024,7,199619.9541620404,193512.33523760922,205727.5730864716,21440.839354020078,20701.195067765657,22180.483640274964,221060.79351606048,214213.53030537488,227908.05672674655,140251.92036558915,65038.68922310444,311281.5031868662,15072.591222119505,6740.627837788686,34616.71462703504,155324.51158770866,71779.31706089313,345898.2178139012,0.7030390812730392,0.3249069931290292,1.5642573295831512,3090.5364440263106,400
19,2024,8,199186.04601191057,193091.7030429835,205280.3889808376,22743.418922474608,21963.920606313273,23522.917238633614,221929.46493438518,215055.6236492968,228803.3062194712,145886.50685479387,72282.30712623913,329429.38694831915,16655.216152281388,7971.555507560673,38903.03570794581,162541.72300707526,80253.8626337998,368332.422656265,0.7348387105454488,0.36062956061874385,1.6550479400041964,3097.261794000949,400
20,2024,9,192349.32431731233,186464.1592884278,198234.48934619685,23247.325523575302,22455.10747701954,24039.54357013339,215596.64984088764,208919.26676544733,222274.03291633024,146485.7481277459,65595.4663626442,310848.167481636,17703.328966985264,7656.386693777065,38829.276928732455,164189.07709473118,73251.85305642127,349677.44441036845,0.756670045581946,0.34640909316226376,1.610014676659886,3103.770197202213,400
21,2024,10,198337.71119133572,192269.32407349657,204406.09830917488,25298.312889884226,24440.64443882741,26155.981340942904,223636.02408121995,216709.96851232398,230562.07965011778,170208.07155081962,65512.17812926956,324991.9231118562,21708.041636034948,8071.03905264372,42868.69492823926,191916.11318685458,73583.21718191328,367860.6180400955,0.861663132273012,0.3271876676060978,1.6459040452195062,3110.495547176852,400
22,2024,11,191531.8480048839,185671.69467293634,197392.0013368315,25714.538512322586,24846.83303864952,26582.243985994253,217246.3865172065,210518.52771158586,223974.24532282577,182581.07273482007,67101.40887554394,334774.15174075577,24514.571285927603,8703.09098397735,46475.4103673452,207095.64402074768,75804.4998595213,381249.562108101,0.946437650145735,0.35380295392065964,1.743402501179085,3117.003950378116,400
