,year,month,nsys,nsys_lwr,nsys_upr,reward,reward_lwr,reward_upr,price,price_lwr,price_upr,m_nodes
39,2025,3,805645865.2024533,776457053.4353988,815683852.9950489,6564761.357395795,2152941.2195334192,11726072.858041277,3.148199453294037,1.0659379967939142,5.640036823232793,2761.696380334954
40,2025,4,807494464.839424,777519769.2480934,817762231.5723305,6541297.460613733,2105310.0154259996,12750519.53033373,3.2747487490632423,1.0943977014760309,6.3838468192082525,2768.179362506753
41,2025,5,809343064.4763948,778576169.1656932,819840514.40158,7288882.552273951,1904999.5913312177,13964816.535167385,3.503150881628808,0.9005593114230663,6.771085626544332,2774.8784440842787
42,2025,6,811191664.1133655,779626188.5273676,821918700.50686,8030756.004226431,1979495.520805022,14732539.263834491,3.922186452927402,1.015083282225541,7.430557799938937,2781.3614262560777
43,2025,7,813040263.7503362,780669770.4200776,823996789.0297596,9220868.233364133,2301364.5665492583,16207690.689059377,4.484408523981423,1.1491984281866603,7.846769465306302,2788.0605078336034
44,2025,8,814919168.2993884,781723799.6264226,826108843.6176314,9899517.483165422,2019693.5723966653,17112213.921789806,4.875841406073427,1.0029242945131351,8.260248167510822,2794.759589411129
45,2025,9,816767767.9363592,782754215.7084761,828186732.5799615,10611859.162941748,2485914.445254667,17686653.63445854,5.281876735452009,1.2757555123625068,8.794237354254548,2801.242571582928
46,2025,10,818616367.5733299,783778017.3735154,830264521.2910523,11278014.744269008,1831110.361909176,19492041.942502566,5.47350417843636,0.9191646392232594,9.495686107239504,2807.941653160454
47,2025,11,820464967.2103007,784795143.9520118,832342208.8358296,11705837.228923459,2663407.8929310488,19341830.635217577,5.824506947980716,1.3648506819561081,9.604682958754639,2814.4246353322533
48,2025,12,822313566.8472714,785805542.6888225,834419794.4192299,14190963.335429387,2031412.9674728962,22283086.246087126,6.891017089277804,0.9830941776055132,10.818439816120895,2821.1237169097785
49,2026,1,824147014.0282013,786795004.6292721,836480158.781033,14041240.156875772,1626220.4909203395,21819566.329165164,7.115291937268263,0.8026996046947599,11.033503314226959,2827.822798487304
50,2026,2,825845604.3503687,787699020.4447949,838388783.6599281,13201193.533923427,2582944.590868014,20855077.213549353,7.508922607866769,1.5205895357100874,11.80944799984492,2833.87358184765
51,2026,3,827544194.672536,788596589.1066777,840297310.8440388,15613685.032471634,3908968.0429970035,24818511.63209507,7.917445861522919,2.017172500385672,12.513856021379045,2840.5726634251755
52,2026,4,829300364.3276582,789517749.6867986,842270430.3104637,16330016.6238386,5062023.036743872,25863103.5090693,8.472688765761454,2.6544433219334764,13.63995944227798,2847.0556455969745
53,2026,5,831056533.9827802,790431913.589765,844243443.7641006,18999090.074288514,3584253.372297797,28006425.020389453,9.639045615460006,1.7617362416706586,14.242002538436203,2853.7547271745
54,2026,6,832812703.6379024,791339024.6180437,846216350.3580427,18889807.595893204,2979935.4968360215,29943244.16041164,9.765504344786773,1.574479007139061,15.697928557483223,2860.237709346299
55,2026,7,834568873.2930245,792239034.7453767,848189149.3692348,21735142.043978587,3612074.713128751,31761003.952247478,11.056152460222842,1.904834903211007,16.043131569078046,2866.936790923825
56,2026,8,836353832.614624,793146466.9361074,850194178.2654994,23575842.115401614,3499194.11820328,34211643.01046452,11.92405323697123,1.7320085070033573,17.47481767440298,2873.6358725013506
57,2026,9,838110002.2697462,794031997.7755282,852166757.9211988,24921050.41281123,3282563.872268997,34687325.430948466,13.0840716478379,1.7501400723932992,18.07416104568133,2880.1188546731496
58,2026,10,839866171.9248683,794910274.8284018,854139227.69189,27066859.686127968,3056803.138664367,39511889.375412434,13.752790806283954,1.523800505888231,19.97791975769901,2886.8179362506753
59,2026,11,841622341.5799904,795781244.5612217,856111586.7712591,26654114.867262356,3665721.764437139,40870392.13181808,13.961392083581938,2.017027704201127,21.27579744756349,2893.3009184224743
60,2026,12,843378511.2351125,796644861.8055307,858083834.4797454,28798682.56204184,4374672.335447093,44568752.45202354,14.621065000053342,2.1851035655954467,22.555877625500262,2900.0
